permit number,description,building type,completed date
6622991-CN,"Construct SW SFR (E) per plans. (Establish use as and construct 3 single-family residences and one townhouse 2 family-dwelling, per plans. Reviews and processing for 4 A/P's under 6601723)",Single Family/Duplex,2019-06-20
6615044-CN,"Establish use as and construct new single-family residence with detached accessory dwelling unit, per plan.",Single Family/Duplex,2019-06-20
6565683-CN,"Establish use as rowhouse and construct a duplex with surface parking, per plan.",Single Family/Duplex,2019-06-19
6568506-CN,"Construct east bldg.(townhouse), per plans. (Establish use as and construct a townhouse building and a two-family dwelling, per plans. Reviews and processing for 2 A/P under 6568506)",Multifamily,2019-06-18
6531769-CN,"Establish use as single family residence and construct one family dwelling, per plans",Single Family/Duplex,2019-06-17
6469671-CN,"Establish use as and construct a single family residence, per plans.",Single Family/Duplex,2019-06-17
6529041-CN,Construct mixed use building and occupy per plan.,Multifamily,2019-06-14
6585132-CN,"Establish use as single family residence and construct one family dwelling, per plans",Single Family/Duplex,2019-06-13
6585137-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2019-06-13
6585128-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2019-06-13
6585125-CN,"Establish use as and construct and single-family residence with a detached garage, per plan.",Single Family/Duplex,2019-06-13
6570825-CN,Establish use as single family residence and construct a single family floating home (house to be constructed off site) per plan.,Single Family/Duplex,2019-06-13
6638863-CN,"Establish use as townhouses and construct a two-family dwelling, per plans.",Single Family/Duplex,2019-06-12
6578785-CN,"Construct a duplex with surface parking, per plan.",Single Family/Duplex,2019-06-12
6586104-CN,"Establish use a single family residence and construct one family dwelling, per plan.",Single Family/Duplex,2019-06-11
6641344-CN,Construct detached garage per subject to field inspection (STFI),Single Family/Duplex,2019-06-10
6626152-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-06-07
6569483-CN,"Construct north east single family residence, per plan. (Establish use as and construct (4) single family residences with surface parking, review and process for 4 AP's under 6493302)",Single Family/Duplex,2019-06-07
6493302-CN,"Construct south east single family residence, per plan. (Establish use as and construct (4) single family residences with surface parking, review and process for 4 AP's under 6493302)",Single Family/Duplex,2019-06-07
6491082-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-06-06
6585135-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2019-06-05
6655290-CN,"Establish use and construct a single family dwelling, per plan.",Single Family/Duplex,2019-06-04
6515303-CN,"Establish use as multifamily residential use and construct apartment, occupy per plan.",Multifamily,2019-06-04
6621095-CN,"Establish use as and Construct EAST town house building, per plan (Establish use as and construct two town house buildings / reveiw & process for 2APs under 6600409)",Multifamily,2019-05-31
6582765-CN,"Establish use as and construct single family residence with attached garage on existing foundation, per plan.",Single Family/Duplex,2019-05-31
6594778-CN,"Establish use as single family residence and construct one family dwelling with detached garage/game room, per plans.",Single Family/Duplex,2019-05-31
6605496-CN,"Establish use as rowhouses and construct a townhouse building, shoring and site work, per plans.",Multifamily,2019-05-29
6635450-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2019-05-29
6641976-CN,"Establish use rowhouse and construct new townhouse building, per plan.",Multifamily,2019-05-29
6461659-CN,"Construct new mixed use building, per plan.",Multifamily,2019-05-29
6591392-CN,"Establish use as rowhouse and construct new townhouse and occupy, per plan.",Multifamily,2019-05-28
6563458-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2019-05-28
6622831-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-05-23
6619730-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2019-05-22
6610367-CN,"Construct North single-family residence, per plan (Establish use as and construct (3) new single-family residences, review and process 3 AP's under 6610367)",Single Family/Duplex,2019-05-22
6632531-CN,"Associate #1: Construct Middle single-family residence, per plan (Establish use as and construct (3) new single-family residences, review and process 3 AP's under 6610367)",Single Family/Duplex,2019-05-22
6610517-CN,"Construct west bldg.(two-family dwelling), per plans. (Establish use as and construct a townhouse building and a two-family dwelling, per plans. Reviews and processing for 2 A/P under 6568506)",Multifamily,2019-05-22
6632532-CN,"Associate #2: Construct South single-family residence, per plan (Establish use as and construct (3) new single-family residences, review and process 3 AP's under 6610367)",Single Family/Duplex,2019-05-22
6619704-CN,"Establish use as rowhouses and construct townhouse building, per plans.",Multifamily,2019-05-21
6596490-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2019-05-20
6576536-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-05-20
6549017-CN,"Establish use as and construct new apartment building with below grade parking, occupy per plan.",Multifamily,2019-05-16
6666269-CN,Establish use and construct single family residence with attached garage per plan.,Single Family/Duplex,2019-05-15
6586525-CN,"Construct SFR, per plans (Establish use as single-family and townhouse and construct a SFR and two-family dwelling, per plans. Reviews and processing for 2 A/P's under 6563207)",Single Family/Duplex,2019-05-14
6563207-CN,"Construct duplex, per plans (Establish use as single-family and townhouse and construct a SFR and two-family dwelling, per plans. Reviews and processing for 2 A/P's under 6563207)",Single Family/Duplex,2019-05-14
6517111-CN,"Construct a multifamily structure, occupy per plan. MUP 3022495, Revision 3028409.",Multifamily,2019-05-14
6622568-CN,"Install shoring and excavation for new multi-family building, per plan (building construction under 6605496).Review and processing for 2 a/p's under 6622568.",Multifamily,2019-05-10
6645538-CN,"Establish use as and construct a single family residence, per plans.",Single Family/Duplex,2019-05-09
6717362-CN,"Construct detached accessory structure (shed) to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2019-05-08
6682941-CN,"Interior alterations to unit 203 (31st floor) in the Escala condominiums, subject to field inspection (STFI).",Multifamily,2019-05-08
6481821-CN,"Establish use as apartment and construct a multifamily structure, occupy per plan.",Multifamily,2019-05-08
6586852-CN,"Shoring and excavation for construction of a residential and live-work building with below grade parking, per plan.",Multifamily,2019-05-07
6469609-CN,Construct mixed-use building with below grade parking & occupy per plans.,Multifamily,2019-05-07
6668050-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-05-06
6577346-CN,"Establish use as townhouse and construct a two-family dwelling, per plan. Existing single-family residence under separate permit.",Single Family/Duplex,2019-05-02
6590376-CN,"Construct bldg, C, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2019-05-01
6589699-CN,"Construct north unit per plans. (Establish use as and construct 2 single-family residences, per plans. Reviews and processing for 2 A/P's under 6589699)",Single Family/Duplex,2019-04-30
6594639-CN,"Construct south unit per plans. (Establish use as and construct 2 single-family residences, per plans. Reviews and processing for 2 A/P's under 6589699)",Single Family/Duplex,2019-04-30
6585698-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-04-29
6636342-CN,"Establish use as and construct new Single Family structure including off-site parking for neighboring properties, per plan.",Single Family/Duplex,2019-04-26
6590377-CN,"Construct bldg. B, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2019-04-26
6547993-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2019-04-26
6404826-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2019-04-26
6684850-CN,"Establish use and construct one single family dwelling, per plans.",Single Family/Duplex,2019-04-24
6607924-CN,"Construct unit 2, per plans (Establish use as and construct 2 single-family residences, per plans. Reviews and processing for 2 A/P's under 6585557)",Single Family/Duplex,2019-04-24
6608330-CN,"Establish use as and construct a single-family residence with attached garage and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2019-04-24
6625978-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2019-04-24
6585079-CN,"Establish use and construct duplex with surface parking and attached garage, per plan.",Multifamily,2019-04-24
6571700-CN,"Establish use and construct single family dwelling with accessory dwelling unit (ADU) and detached garage, per plan.",Single Family/Duplex,2019-04-24
6608078-CN,"Establish use as and construct a duplex with surface parking, per plans.",Multifamily,2019-04-23
6566140-CN,"Construct east multifamily structure, per plan. (Establish use as business, and dwelling units, and construct 1 mixed-use and 1 multifamily structure with attached parking. Review and process for A/P's under 6545834)",Multifamily,2019-04-23
6580098-CN,"Construct south single family residence, per plan. (Establish use as and construct 2 single family residences with surface parking, per plan. Review and process for 2 AP's under #6575793)",Single Family/Duplex,2019-04-22
6562410-CN,"Establish use as rowhouse and construct 3-unit townhouse north side, per plan.(Establish use as 3-unit townhouse and duplex structures. Review & processing  for 2 AP's under 6562410)",Multifamily,2019-04-22
6563519-CN,"Establish use and construct new townhouse with existing building to remain, per plan.",Multifamily,2019-04-22
6608289-CN,"Establish use as and construct single family residence with detached garage, per plan.",Single Family/Duplex,2019-04-18
6623641-CN,"Associate: Construct south 3-unit townhouse, per plan. (Establish use as townhouse and construct two 3-unit townhouses with on-site parking, review and process 2 AP's under # 6594191)",Multifamily,2019-04-18
6548739-CN,"Establish use as and construct a two-family dwelling, per plans.",Single Family/Duplex,2019-04-18
6559242-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2019-04-18
6548737-CN,"Establish use as rowhouse and construct new townhouse structure, per plan",Multifamily,2019-04-18
6622753-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2019-04-16
6542988-CN,"Construct East duplex with surface parking, per plan (Construct two duplex townhouses with surface parking, per plan - 2AP's under #6542988)",Single Family/Duplex,2019-04-16
6582132-CN,"Establish use as and construct single family residence with accessory dwelling unit (ADU) and attached garage, per plan",Single Family/Duplex,2019-04-16
