,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
366,6390510-CN,Single Family/Duplex,2013-11-04,2015-03-06,"Construct new single family residence this permit, per plan (Establish use as townhouses and single family residence and Construct 1 new duplex with attached garage and 1 new single family residence with attached garage/review and processing for 2 A/P's under 6382977)."
367,6383181-CN,Multifamily,2013-11-04,2014-10-17,Establish use as townhouses and construct new duplex with attached garages/per plan.
368,6383000-CN,Single Family/Duplex,2013-10-30,2015-01-20,"Establish use as and construct single family residence with attached garage, per plan. (Establish use as and construct single family residence and duplex with attached garages, per plan 2 AP's processed under 6383000)"
369,6389039-CN,Single Family/Duplex,2013-10-30,2015-01-20,"Establish use as and duplex residence with attached garage, per plan. (Establish use as and construct single family residence and duplex with attached garages, per plan 2 AP's processed under 6383000)"
370,6361967-CN,Single Family/Duplex,2013-10-15,2015-10-29,"Establish use as and construct 2-unit townhouse (duplex) with attached garages for unit lots 70-71, per plan."
371,6379393-CN,Single Family/Duplex,2013-10-07,2014-12-17,Construct north duplex (units 3 & 4) per plan (Establish use as townhouse and single family residence and Construct 1 new duplex and 2 new single family residences with parking/review and processing for 3 AP's under 6379393)
372,6386163-CN,Single Family/Duplex,2013-10-07,2014-12-08,Construct middle SFR (unit 2) per plan (Establish use as townhouse and single family residence and Construct 1 new duplex and 2 new single family residences with parking/review and processing for 3 AP's under 6379393)
373,6380714-CN,Multifamily,2013-10-07,2015-07-15,"Construct west single family residence with surface parking, per plan. (Establish use as and construct two new single family residences and establish use as and construct one new townhouse duplex strucure / Review and processing for 3 AP's under #6380714.)"
374,6386164-CN,Single Family/Duplex,2013-10-07,2014-12-08,Construct south SFR (unit 1) per plan (Establish use as townhouse and single family residence and Construct 1 new duplex and 2 new single family residences with parking/review and processing for 3 AP's under 6379393)
375,6386150-CN,Multifamily,2013-10-07,2015-02-13,Construct North duplex (units C & D) per plan (Establish use as townhomes and Construct 1-new duplex structure with attached garages/review and processing for 2-AP's under 6366936)(South ubits Live/Work per SRC 101.2 exception).
376,6385173-CN,Single Family/Duplex,2013-10-03,2015-05-01,"Construct new single family reidence this permit, per plan ( Establish use as and construct new single family reidence and 2-unit townhouses and Construct 1 new single family residence and 1 new duplex with surface parking, per plans. (Review and process for 2 AP's under 6371520)."
377,6360009-CN,Multifamily,2013-09-25,2015-12-23,"Construct north single family residence, per plans. (Construct single family residence and duplex structure, per plans / Review and processing for 2 AP's under 6360009.)"
378,6384426-CN,Multifamily,2013-09-25,2015-11-09,"Construct south duplex structure, per plans. (Construct single family residence and duplex structure, per plans / Review and processing for 2 AP's under 6360009"
379,6366933-CN,Single Family/Duplex,2013-09-06,2015-08-06,Construct North Duplex (units C & D) per plan (Establish use as townhouses and construct 2 new duplex structures with attached garages/review and process for 2 AP's under # 6366933).(South units Live/Work per SRC 101.2 exception).
380,6381410-CN,Single Family/Duplex,2013-09-05,2015-08-06,Construct South Live/Work Duplex (units A & B) per plan (SRC 101.2 exception)(Establish use as townhouses and construct 2 new duplex structures with attached garages/review and process for 2 AP's under # 6366933).
381,6378508-CN,Multifamily,2013-08-22,2015-06-22,"Establish use as and construct single family residence, per plan (Establish use as duplex and single family residence with surface parking, per plan - Processing for 2 APs under 6370524)"
382,6370524-CN,Multifamily,2013-08-22,2015-06-22,"Establish use as and construct two unit townhouse, per plan. (Establish use as duplex and single family residence with surface parking, per plan - Processing for 2 APs under 6370524)"
383,6334144-CN,Multifamily,2013-08-19,2016-06-22,Establish use and construct NE duplex and parking this permit.
384,6378945-CN,Single Family/Duplex,2013-08-19,2017-03-01,"Establish use and construct SE duplex this permit. (construct four duplex townhomes above parking garage and occupy, per plan. Review and process 4 APs under project 6334144)."
385,6378946-CN,Single Family/Duplex,2013-08-19,2017-03-01,"Establish use and construct SW duplex this permit. (construct four duplex townhomes above parking garage and occupy, per plan. Review and process 4 APs under project 6334144)."
386,6369007-CN,Single Family/Duplex,2013-08-19,2014-11-20,"Establish use as and construct single family residence w/ attached garage, per plan (Establish use as and construct single family residence w/attached garage and duplex [this permit] w/surface parking, per plan - Processing for 2 APs under 6369007)"
387,6366977-CN,Single Family/Duplex,2013-08-19,2017-01-31,"Establish use as and construct duplex with covered parking, per plan"
388,6378789-CN,Multifamily,2013-08-19,2014-11-20,"Establish use as and construct single family residence w/ attached garage,[this permit] per plan (Establish use as and construct single family residence w/attached garage and duplex [this permit] w/surface parking, per plan - Processing for 2 APs under 6369007)"
389,6378947-CN,Single Family/Duplex,2013-08-19,2017-03-01,"Establish use and construct NW duplex this permit (construct four duplex townhomes above parking garage and occupy, per plan. Review and process 4 APs under project 6334144)."
390,6362996-CN,Single Family/Duplex,2013-08-02,2014-09-25,Construct townhome duplex (units 1&2) with attached garages and occupy per plan (Establish uses as duplex and single family homes with attached garages and construct townhome duplex and two single family residences/review & process for 3 AP's under 6362996).
391,6363406-CN,Multifamily,2013-08-01,2014-09-18,"Establish use as, construct one duplex with attached garages, and occupy, per plan."
392,6374515-CN,Multifamily,2013-07-31,2017-01-12,"Construct North middle duplex townhouse with attached garages (building #7), per plan (Construct 4 buildings with attached and surface parking. 4 A/P's under 6316016)."
393,6363478-CN,Single Family/Duplex,2013-07-30,2014-08-05,"Construct new duplex(west) this permit, per plan ( Establish use as and single family reidence and townhouses and Construct 1 new single family residence and 1 new duplex with surface parking/review and process for 2 AP's under 6363478)."
394,6375459-CN,Single Family/Duplex,2013-07-30,2014-08-05,"Construct new east single family residence this permit, per plans. ( Establish use as and single family reidence and townhouses and Construct 1 new single family residence and 1 new duplex with surface parking/review and process for 2 AP's under 6363478)."
395,6360158-CN,Multifamily,2013-07-26,2015-02-03,"Construct west duplex this permit, per plan (Establish use as townhouses and Construct 2 new duplexes with surface parking/review and process for 2 AP's under 6360158)"
396,6375280-CN,Multifamily,2013-07-25,2015-01-30,"Construct east duplex this permit, per plan (Establish use as townhouses and Construct 2 new duplexes with surface parking/review and process for 2 AP's under 6360158)."
397,6364967-CN,Multifamily,2013-07-16,2015-01-07,"Construct townhouse duplex (units 1&2), per plan (Establish use as duplex with attached garages, (2) new single family residences with surface parking/review and process for (3) AP's under 6364967)"
398,6372905-CN,Multifamily,2013-07-16,2015-01-07,"Construct new SFR (unit 2), per plan (Establish use as duplex with attached garages and (2)single family residences with surface parking/review and process for (3) AP's under 6364967)"
399,6372906-CN,Multifamily,2013-07-16,2015-01-12,"Construct new SFR (unit 1), per plan (Establish use as duplex with attached garages, (2) new single family residences with surface parking/review and process for (3) AP's under 6364967)"
400,6362572-CN,Single Family/Duplex,2013-07-11,2014-07-07,Establish use as townhouse and Construct new duplex with attached garage/per plan
401,6372537-CN,Multifamily,2013-07-06,2014-09-03,"Construct west single family residence this permit, per plans. (Establish use and construct (2) single family dwellings and (1) duplex townhome structure. Surface parking provided, all per plan. Review and processing for 2 A/P's under 6361067)."
402,6372538-CN,Multifamily,2013-07-06,2014-09-03,"Construct middle single family residence this permit, per plans. (Establish use and construct (2) single family dwellings and (1) duplex townhome structure. Surface parking provided, all per plan. Review and processing for 2 A/P's under 6361067)."
403,6361067-CN,Multifamily,2013-07-06,2014-09-03,"Construct east duplex townhome this permit, per plans. (Establish use and construct (2) single family dwellings and (1) duplex townhome residential building. Surface parking provided, all per plan. Review and processing for 2 A/P's under 6361067)."
404,6372262-CN,Multifamily,2013-07-05,2014-08-29,"Construct West single family residence, per plans. (Establish use as and construct one townhouse duplex structure and two single family residence with surface parking, per plans/ Reviews and process  3AP's under 6361057)"
405,6372261-CN,Multifamily,2013-07-05,2014-08-29,"Construct Middle single family residence, per plans. (Establish use as and construct one townhouse duplex structure and two single family residence with surface parking, per plans/ Reviews and process  3AP's under 6361057)"
406,6370746-CN,Single Family/Duplex,2013-07-05,2014-11-14,Construct North single family residence per plan (Establish use as townhouses and single family residence and construct 1 duplex and 2 single family residences/Review and process for 3 AP's under 6361539).
407,6370745-CN,Single Family/Duplex,2013-07-05,2014-09-23,Construct south single family residence per plan (Establish use as townhouses and single family residence and construct 1 duplex and 2 single family residences/Review and process for 3 AP's under 6361539).
408,6361057-CN,Multifamily,2013-07-05,2014-08-29,"Construct East townhouse duplex structure, per plan. (Establish use as and construct one townhouse duplex structure and two single family residence with surface parking, per plans/ Reviews and process  3AP's under 6361057)"
409,6361824-CN,Single Family/Duplex,2013-06-18,2015-01-12,Construct (1) duplex per plan.  (Establish and construct (1) duplex and (2) single family residences with surface parking.  Review and processing for 3 AP's under 6361824).
